32774	13575	9781	8900	8613	8510	8437	8433	8369
32792	13574	9715	8921	8615	8510	8442	8415	8363
32806	13574	9774	8900	8646	8541	8436	8414	8368
32810	13630	9769	8907	8611	8510	8463	8412	8382
32759	13574	9784	8902	8608	8510	8448	8413	8367
32812	13626	9769	8914	8649	8509	8472	8434	8380
32770	13575	9774	8906	8608	8506	8443	8434	8365
32827	13630	9776	8901	8616	8545	8442	8402	8368
32829	13580	9778	8894	8637	8513	8437	8438	8358
32819	13568	9768	8923	8612	8515	8443	8415	8379
32823	13578	9782	8905	8610	8516	8446	8410	8367
32815	13633	9736	8925	8618	8509	8466	8434	8367
32802	13579	9733	8900	8614	8549	8466	8437	8363
32751	13634	9724	8896	8612	8512	8443	8411	8365
32794	13627	9761	8919	8614	8511	8449	8409	8382
32788	13630	9727	8899	8615	8544	8440	8427	8371
32737	13572	9772	8898	8638	8510	8444	8438	8371
32795	13625	9768	8905	8610	8513	8445	8432	8381
32801	13618	9772	8908	8615	8513	8467	8412	8361
32739	13576	9781	8912	8643	8510	8441	8428	8356
32805	13577	9780	8895	8607	8512	8470	8419	8373
32751	13575	9772	8901	8637	8548	8451	8414	8364
32813	13630	9785	8898	8613	8510	8448	8439	8379
32814	13577	9768	8905	8633	8517	8453	8410	8360
32764	13633	9772	8932	8613	8512	8436	8435	8364
32816	13625	9769	8922	8613	8515	8449	8408	8360
32810	13626	9733	8907	8615	8511	8443	8435	8374
32806	13628	9780	8903	8648	8509	8443	8405	8366
32819	13632	9771	8901	8607	8509	8441	8419	8354
32811	13581	9780	8891	8603	8500	8462	8412	8356

