42404	43843	43819	45811	47026	49666	50891	52662
42414	43887	43811	44806	47097	49922	50954	52588
42404	43862	43827	44956	47099	50013	50937	52526
42407	43882	43831	44891	47042	50044	50957	52624
42407	43873	43837	44904	47052	50066	51019	52631
42410	43874	43829	44929	47086	50084	51006	52593
42408	43886	43840	44931	47112	50115	50990	52591
42413	43888	43847	44922	47002	50146	51055	52607
42410	43894	43843	44940	47174	50163	51065	52517
42411	43885	43837	44946	47184	50197	51088	52608
42411	43886	43820	44953	47227	50188	51128	52610
42411	43884	43833	44964	47203	50201	51035	52618
42415	43889	43835	44953	47174	50249	51220	52641
42406	43887	43842	44977	47204	50249	51077	52649
42410	43889	43813	44988	47196	50283	51206	52641
42409	43881	43836	44983	47197	50310	51148	52626
