52582	23915	9998	8143	7416	7208	7106	6973	6889
52592	23922	10004	8171	7412	7150	7049	6975	6890
52486	23932	10011	8177	7425	7166	7048	6970	6820
52572	23934	10041	8144	7421	7145	7050	6977	6822
52571	23943	10036	8135	7470	7164	7047	6978	6829
52470	23954	10029	8167	7419	7148	7099	6975	6823
52502	23940	9988	8133	7432	7156	7047	6970	6823
52475	23948	10041	8140	7420	7152	7096	6972	6825
52448	23938	10049	8146	7420	7151	7048	6978	6821
52370	23953	9995	8158	7411	7207	7047	6980	6895
52412	23936	10031	8159	7413	7151	7047	6973	6822
52390	23918	10031	8141	7409	7154	7049	6965	6818
52309	23908	10033	8141	7478	7153	7045	6979	6825
52386	23903	10032	8135	7474	7150	7044	6977	6815
52383	23897	10042	8137	7407	7153	7092	6976	6818
52384	23887	9984	8168	7474	7143	7040	6975	6895
52331	23895	9994	8135	7412	7155	7048	6973	6823
52407	23881	10043	8131	7415	7158	7050	6979	6816
52359	23870	9998	8140	7411	7148	7045	6973	6822
52442	23874	10032	8136	7419	7144	7050	6974	6823
52451	23884	9999	8142	7477	7156	7045	6969	6826
52445	23875	10041	8148	7424	7155	7044	7028	6823
52442	23884	10032	8148	7406	7210	7044	6976	6821
52441	23882	10049	8136	7409	7156	7038	6974	6822
52426	23880	10003	8135	7411	7149	7042	6979	6826
52418	23883	9999	8134	7419	7148	7046	6974	6811
52405	23890	10030	8144	7474	7158	7048	6975	6825
52383	23886	9998	8135	7414	7145	7049	6974	6819
52366	23888	10033	8142	7432	7140	7045	6976	6825
52365	23906	10042	8144	7478	7149	7044	6975	6818

