45520	49355	52123	52506	54019	54487	55749	61192
45519	49287	52191	52525	54019	54487	55750	61179
45529	49343	52185	52508	54017	54483	55746	61175
45520	49350	52185	52512	54122	54476	55740	61186
45520	49356	52187	52516	54017	54483	55736	61206
45529	49344	52121	52436	54016	54480	55740	61206
45522	49344	52116	52439	54022	54479	55740	61178
45522	49351	52120	52422	54016	54474	55752	61170
45519	49291	52185	52525	54026	54484	55752	61186
45523	49355	52124	52424	54010	54482	55755	61196
45513	49358	52196	52512	54019	54479	55759	61177
45522	49351	52193	52503	54017	54599	55760	61155
45523	49344	52182	52520	54020	54499	55757	61144
45522	49357	52126	52425	54014	54484	55763	61163
45522	49350	52191	52536	54126	54477	55757	61166
45511	49344	52184	52434	54011	54493	55756	61146
45518	49349	52177	52539	54132	54489	55754	61132
45520	49356	52199	52434	54009	54484	55754	61142
45461	49350	52189	52521	54014	54479	55756	61157
45522	49348	52187	52437	54021	54484	55747	61137
45517	49303	52183	52521	54120	54478	55749	61134
45525	49343	52121	52511	54018	54490	55746	61146
45519	49348	52117	52517	54015	54480	55753	61168
45520	49359	52114	52510	54012	54469	55751	61153
45519	49347	52201	52430	54016	54489	55757	61149
45520	49349	52195	52422	54127	54500	55742	61150
45519	49356	52183	52509	54009	54489	55760	61161
45521	49354	52210	52428	54026	54481	55776	61175
45520	49349	52196	52438	54032	54485	55731	61181
45524	49351	52103	52490	53994	54485	55762	61153

