37654	13637	6973	6010	5699	5523	5452	5408	5328
37654	13734	6962	6008	5700	5521	5427	5405	5321
37670	13728	6973	6012	5694	5529	5455	5407	5324
37686	13629	6969	6007	5699	5521	5446	5401	5318
37693	13629	6964	6006	5697	5527	5418	5413	5320
37704	13632	6976	6008	5699	5523	5450	5395	5325
37721	13630	6974	6001	5701	5528	5441	5410	5324
37733	13729	6977	6008	5701	5532	5450	5410	5332
37747	13717	6971	6004	5706	5521	5452	5398	5320
37745	13724	6974	6007	5676	5528	5450	5403	5330
37758	13630	6970	6008	5699	5498	5451	5403	5325
37758	13724	6971	6005	5698	5526	5446	5411	5321
37761	13725	6998	6007	5698	5522	5446	5405	5324
37768	13730	6973	6008	5701	5531	5453	5394	5316
37759	13632	6979	6013	5696	5526	5449	5400	5320
37768	13631	6971	6003	5698	5525	5443	5383	5324
37768	13633	7005	6009	5698	5528	5443	5413	5325
37766	13728	6977	6014	5696	5520	5449	5398	5324
37747	13729	6984	6015	5706	5520	5444	5408	5325
37747	13728	6979	6006	5693	5528	5453	5401	5317
37755	13628	6978	6011	5698	5530	5451	5403	5323
37754	13725	6971	6007	5703	5515	5451	5400	5325
37748	13726	6980	5996	5700	5525	5439	5400	5319
37738	13619	6971	6009	5701	5522	5450	5409	5321
37734	13611	6972	6010	5699	5522	5445	5405	5322
37722	13706	6997	6003	5701	5531	5442	5406	5302
37707	13702	7001	6001	5702	5520	5448	5400	5332
37700	13703	6976	5997	5702	5523	5450	5383	5324
37691	13598	6971	6000	5697	5526	5445	5406	5326
37682	13692	6999	6011	5700	5518	5449	5399	5322

