%time,field.finger1,field.finger2,field.finger3
1503852814223747726,19053.0,14049.0,14049.0
1503852814256640903,19057.0,14058.0,14058.0
1503852814290736486,19058.0,14048.0,14048.0
1503852814323745971,19044.0,14049.0,14049.0
1503852814356964466,19058.0,14051.0,14051.0
1503852814390435985,19054.0,14046.0,14046.0
1503852814424503278,19060.0,14053.0,14053.0
1503852814456901856,19063.0,14052.0,14052.0
1503852814490262252,19052.0,14041.0,14041.0
1503852814523661676,19042.0,14043.0,14043.0
1503852814556085182,19041.0,14049.0,14049.0
1503852814590915665,19053.0,14047.0,14047.0
1503852814623027750,19048.0,14051.0,14051.0
1503852814656064814,19056.0,14047.0,14047.0
1503852814689870674,19056.0,14053.0,14053.0
1503852814723692209,19058.0,14050.0,14050.0
1503852814756238911,19060.0,14053.0,14053.0
1503852814790328533,19043.0,14052.0,14052.0
1503852814824190475,19064.0,14043.0,14043.0
1503852814858570598,19052.0,14047.0,14047.0
1503852814890310500,19067.0,14047.0,14047.0
1503852814922947308,19062.0,14045.0,14045.0
1503852814956403717,19065.0,14047.0,14047.0
1503852814991624777,19053.0,14064.0,14064.0
1503852815022961527,19046.0,14048.0,14048.0
1503852815056561402,19053.0,14047.0,14047.0
1503852815090908819,19052.0,14051.0,14051.0
1503852815124314331,19066.0,14052.0,14052.0
1503852815157560893,19043.0,14054.0,14054.0
1503852815189883546,19047.0,14055.0,14055.0
1503852815224242380,19057.0,14050.0,14050.0
1503852815256561796,19048.0,14057.0,14057.0
1503852815290327616,19054.0,14057.0,14057.0
1503852815324912034,19053.0,14041.0,14041.0
1503852815356107575,19047.0,14045.0,14045.0
1503852815390134907,19053.0,14073.0,14073.0
1503852815423336158,19053.0,14054.0,14054.0
1503852815456657406,19059.0,14049.0,14049.0
1503852815490284503,19054.0,14047.0,14047.0
1503852815523707527,19069.0,14047.0,14047.0
1503852815556673123,19061.0,14048.0,14048.0
1503852815590284791,19051.0,14052.0,14052.0
1503852815623100410,19045.0,14052.0,14052.0
1503852815656511781,19049.0,14050.0,14050.0
1503852815691154745,19043.0,14051.0,14051.0
1503852815724622044,19061.0,14053.0,14053.0
1503852815756225702,19049.0,14044.0,14044.0
1503852815790563201,19043.0,14053.0,14053.0
1503852815824474187,19049.0,14049.0,14049.0
1503852815856102101,19057.0,14051.0,14051.0
1503852815890261527,19060.0,14053.0,14053.0
1503852815923881347,19058.0,14054.0,14054.0
1503852815956591929,19059.0,14056.0,14056.0
1503852815989569763,19063.0,14053.0,14053.0
1503852816024023450,19047.0,14052.0,14052.0
1503852816056885731,19056.0,14050.0,14050.0
1503852816090551499,19070.0,14054.0,14054.0
1503852816124638813,19045.0,14054.0,14054.0
1503852816157155524,19048.0,14064.0,14064.0
1503852816190919051,19052.0,14051.0,14051.0
1503852816224309979,19073.0,14064.0,14064.0
1503852816257612102,19074.0,14050.0,14050.0
1503852816290524004,19062.0,14048.0,14048.0
1503852816322795314,19052.0,14050.0,14050.0
1503852816356485147,19073.0,14050.0,14050.0
1503852816390105411,19061.0,14051.0,14051.0
1503852816423284596,19058.0,14048.0,14048.0
1503852816456464262,19062.0,14056.0,14056.0
1503852816490435988,19053.0,14043.0,14043.0
1503852816524414457,19062.0,14051.0,14051.0
1503852816557574598,19048.0,14055.0,14055.0
1503852816591126773,19054.0,14046.0,14046.0
1503852816623363060,19044.0,14042.0,14042.0
1503852816656362388,19051.0,14051.0,14051.0
1503852816690467522,19062.0,14048.0,14048.0
1503852816724935593,19036.0,14052.0,14052.0
1503852816756778725,19042.0,14051.0,14051.0
1503852816790593149,19066.0,14051.0,14051.0
1503852816825487178,19054.0,14059.0,14059.0
1503852816856572840,19066.0,14055.0,14055.0
1503852816890294908,19064.0,14056.0,14056.0
1503852816923726667,19049.0,14052.0,14052.0
1503852816956106676,19056.0,14052.0,14052.0
1503852816990239682,19064.0,14075.0,14075.0
1503852817023241456,19045.0,14045.0,14045.0
1503852817056287243,19073.0,14074.0,14074.0
1503852817090244206,19049.0,14072.0,14072.0
1503852817123597445,19048.0,14077.0,14077.0
1503852817156301215,19051.0,14067.0,14067.0
