%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1
1503852810471775545,sensor data,2,1,1,19064,14050
1503852810497976298,sensor data,2,1,1,19042,14045
1503852810512210763,sensor data,2,1,1,19040,14051
1503852810532134209,sensor data,2,1,1,19051,14048
1503852810552174129,sensor data,2,1,1,19046,14055
1503852810571969014,sensor data,2,1,1,19047,14051
1503852810592115476,sensor data,2,1,1,19050,14056
1503852810611831020,sensor data,2,1,1,19044,14054
1503852810632248332,sensor data,2,1,1,19047,14048
1503852810651927005,sensor data,2,1,1,19039,14050
1503852810671950067,sensor data,2,1,1,19037,14050
1503852810691862245,sensor data,2,1,1,19045,14052
1503852810712218599,sensor data,2,1,1,19039,14050
1503852810731982641,sensor data,2,1,1,19042,14056
1503852810752299116,sensor data,2,1,1,19052,14058
1503852810772014043,sensor data,2,1,1,19051,14048
1503852810792076436,sensor data,2,1,1,19045,14050
1503852810812466457,sensor data,2,1,1,19054,14046
1503852810832068906,sensor data,2,1,1,19063,14051
1503852810852299946,sensor data,2,1,1,19039,14051
1503852810872093859,sensor data,2,1,1,19067,14042
1503852810892466623,sensor data,2,1,1,19041,14040
1503852810912434924,sensor data,2,1,1,19044,14051
1503852810932139645,sensor data,2,1,1,19050,14050
1503852810952415368,sensor data,2,1,1,19064,14054
1503852810972220772,sensor data,2,1,1,19055,14047
1503852810992427019,sensor data,2,1,1,19047,14048
1503852811012404288,sensor data,2,1,1,19055,14049
1503852811032504907,sensor data,2,1,1,19046,14050
1503852811052010677,sensor data,2,1,1,19041,14048
1503852811071990609,sensor data,2,1,1,19061,14051
1503852811091993381,sensor data,2,1,1,19041,14059
1503852811112205415,sensor data,2,1,1,19045,14049
1503852811131941007,sensor data,2,1,1,19050,14053
1503852811152073523,sensor data,2,1,1,19049,14050
1503852811172379179,sensor data,2,1,1,19049,14051
1503852811192135001,sensor data,2,1,1,19068,14078
1503852811212343039,sensor data,2,1,1,19048,14051
1503852811232247686,sensor data,2,1,1,19060,14066
1503852811251932218,sensor data,2,1,1,19062,14050
1503852811272114026,sensor data,2,1,1,19044,14053
1503852811292418662,sensor data,2,1,1,19068,14075
1503852811312409216,sensor data,2,1,1,19041,14086
1503852811331878050,sensor data,2,1,1,19043,14046
1503852811351990739,sensor data,2,1,1,19046,14050
1503852811372546048,sensor data,2,1,1,19060,14053
1503852811392876938,sensor data,2,1,1,19072,14050
1503852811412132548,sensor data,2,1,1,19070,14042
1503852811432166751,sensor data,2,1,1,19047,14054
1503852811452321062,sensor data,2,1,1,19039,14050
1503852811472287053,sensor data,2,1,1,19054,14050
1503852811493202878,sensor data,2,1,1,19056,14054
1503852811512176765,sensor data,2,1,1,19060,14050
1503852811531794609,sensor data,2,1,1,19053,14047
1503852811551926457,sensor data,2,1,1,19057,14050
1503852811572590373,sensor data,2,1,1,19050,14044
1503852811592502338,sensor data,2,1,1,19046,14045
1503852811612489159,sensor data,2,1,1,19060,14053
1503852811632138180,sensor data,2,1,1,19057,14053
1503852811652624474,sensor data,2,1,1,19054,14054
1503852811672011210,sensor data,2,1,1,19045,14054
1503852811692998497,sensor data,2,1,1,19047,14053
1503852811711924483,sensor data,2,1,1,19062,14048
1503852811732030965,sensor data,2,1,1,19046,14049
1503852811751596932,sensor data,2,1,1,19057,14049
1503852811772507438,sensor data,2,1,1,19046,14054
1503852811792365816,sensor data,2,1,1,19070,14047
1503852811812331361,sensor data,2,1,1,19040,14048
1503852811832118932,sensor data,2,1,1,19059,14052
1503852811852042249,sensor data,2,1,1,19061,14053
1503852811872025342,sensor data,2,1,1,19058,14045
1503852811892907097,sensor data,2,1,1,19064,14051
1503852811911987170,sensor data,2,1,1,19044,14055
1503852811931849685,sensor data,2,1,1,19065,14045
1503852811952157583,sensor data,2,1,1,19079,14054
1503852811972127267,sensor data,2,1,1,19070,14049
1503852811992604579,sensor data,2,1,1,19050,14056
1503852812012356591,sensor data,2,1,1,19047,14041
1503852812031958977,sensor data,2,1,1,19065,14047
1503852812052509182,sensor data,2,1,1,19070,14044
1503852812072335276,sensor data,2,1,1,19052,14048
1503852812092710640,sensor data,2,1,1,19051,14049
1503852812112361196,sensor data,2,1,1,19043,14051
1503852812132651339,sensor data,2,1,1,19044,14050
1503852812152572182,sensor data,2,1,1,19058,14044
1503852812172795659,sensor data,2,1,1,19068,14050
1503852812192174069,sensor data,2,1,1,19062,14072
1503852812212171440,sensor data,2,1,1,19058,14047
1503852812232063963,sensor data,2,1,1,19044,14044
